Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.848,0.6388140161725068,0.5823095823095823,0.609254498714653,0.8594727238795036
Decision Tree,0.7595,0.4474431818181818,0.773955773955774,0.5670567056705671,0.8397002549544923
Logistic Regression,0.7135,0.38722826086956524,0.7002457002457002,0.49868766404199477,0.7771654551315569
